window_id,window_start,window_end,window_center,window_W_seconds,window_stride_seconds,Tde_global_p99_ms_all,Tde_count,Tde_mean_ms,Tde_std_ms,Tde_max_ms,Tde_p95_ms,Tde_p99_ms,Tde_q1_ms,Tde_q3_ms,Tde_iqr_ms,Tde_tail_ratio_p99_mean,Tde_tail_exceed_rate,Tde_winsorized_mean_ms_p95cap,Tis_global_p99_ms_all,Tis_count,Tis_mean_ms,Tis_std_ms,Tis_max_ms,Tis_p95_ms,Tis_p99_ms,Tis_q1_ms,Tis_q3_ms,Tis_iqr_ms,Tis_tail_ratio_p99_mean,Tis_tail_exceed_rate,Tis_winsorized_mean_ms_p95cap,split,Tde_global_p99_ms_train,Tis_global_p99_ms_train
421,2025-05-29 02:29:23.347167,2025-05-29 02:34:23.347167,2025-05-29 02:31:53.347167,300,30,0.14247,40,0.078875,0.021903269279452443,0.15,0.10839999999999998,0.13673999999999997,0.0645,0.092,0.027499999999999997,1.733629160063391,0.025,0.07764499999999999,2331.46382,40,1102.315425,435.9929945296926,2744.651,1568.5542999999964,2744.63969,875.40125,1175.86875,300.4675000000001,2.489885950747718,0.05,1043.511315,test,0.14673,1965.2991199999994
422,2025-05-29 02:29:53.347167,2025-05-29 02:34:53.347167,2025-05-29 02:32:23.347167,300,30,0.14247,40,0.079125,0.02173522191731365,0.15,0.10839999999999998,0.13673999999999997,0.065,0.092,0.026999999999999996,1.728151658767772,0.025,0.077895,2331.46382,40,1109.366675,430.31058505202344,2744.651,1568.5542999999964,2744.63969,895.98975,1175.86875,279.87900000000013,2.4740599766078244,0.05,1050.562565,test,0.14673,1965.2991199999994
423,2025-05-29 02:30:23.347167,2025-05-29 02:35:23.347167,2025-05-29 02:32:53.347167,300,30,0.14247,40,0.082625,0.021962307454317015,0.15,0.11629999999999999,0.13907999999999998,0.0715,0.096,0.024500000000000008,1.6832677760968227,0.025,0.08164,2331.46382,40,1149.6910500000001,424.71442078738824,2744.651,1568.5542999999964,2744.63969,933.2394999999999,1209.5795,276.34000000000015,2.387284557881876,0.05,1090.8869399999999,test,0.14673,1965.2991199999994
424,2025-05-29 02:30:53.347167,2025-05-29 02:35:53.347167,2025-05-29 02:33:23.347167,300,30,0.14247,40,0.08325,0.020423402865717175,0.15,0.11629999999999999,0.13907999999999998,0.073,0.093,0.020000000000000004,1.6706306306306302,0.025,0.082265,2331.46382,40,1284.716975,552.8420387721228,2884.022,2751.6175999999996,2884.00679,1001.17225,1268.29725,267.1250000000001,2.2448576971593295,0.1,1278.09773,test,0.14673,1965.2991199999994
425,2025-05-29 02:31:23.347167,2025-05-29 02:36:23.347167,2025-05-29 02:33:53.347167,300,30,0.14247,40,0.0873,0.0201471509724748,0.15,0.12215,0.14024999999999999,0.074,0.097,0.023000000000000007,1.606529209621993,0.025,0.0865325,2331.46382,40,1300.2212749999999,544.5353986155861,2884.022,2751.6175999999996,2884.00679,1051.7635,1268.29725,216.53375000000005,2.218089217160364,0.1,1293.60203,test,0.14673,1965.2991199999994
426,2025-05-29 02:31:53.347167,2025-05-29 02:36:53.347167,2025-05-29 02:34:23.347167,300,30,0.14247,40,0.088325,0.021241453786743483,0.15,0.12309999999999999,0.14024999999999999,0.074,0.09825,0.024250000000000008,1.5878856495895837,0.025,0.087605,2331.46382,40,1288.358725,552.4852137587955,2884.022,2751.6175999999996,2884.00679,958.1320000000001,1268.29725,310.16525,2.238512251314167,0.1,1281.7394799999997,test,0.14673,1965.2991199999994
427,2025-05-29 02:32:23.347167,2025-05-29 02:37:23.347167,2025-05-29 02:34:53.347167,300,30,0.14247,40,0.08595,0.022184482911514574,0.134,0.12309999999999999,0.13049,0.073,0.09825,0.02525000000000001,1.5182082606166376,0.0,0.08563,2331.46382,40,1180.05745,455.0134080417203,2884.022,1575.522349999996,2884.00679,903.5844999999999,1225.54575,321.96125000000006,2.443954563398587,0.05,1114.6334425,test,0.14673,1965.2991199999994
428,2025-05-29 02:32:53.347167,2025-05-29 02:37:53.347167,2025-05-29 02:35:23.347167,300,30,0.14247,40,0.0847,0.022495811575969835,0.134,0.12309999999999999,0.13049,0.073,0.09825,0.02525000000000001,1.5406139315230225,0.0,0.08438,2331.46382,40,1132.392775,461.137663526402,2884.022,1497.6479999999958,2884.00679,877.69525,1215.1947499999999,337.4994999999999,2.5468254952439096,0.05,1063.07505,test,0.14673,1965.2991199999994
429,2025-05-29 02:33:23.347167,2025-05-29 02:38:23.347167,2025-05-29 02:35:53.347167,300,30,0.14247,40,0.08455,0.02269863883866619,0.134,0.12309999999999999,0.13049,0.073,0.099,0.02600000000000001,1.5433471318746304,0.0,0.08423,2331.46382,40,1137.5938,458.3566249611255,2884.022,1497.6479999999958,2884.00679,877.69525,1215.1947499999999,337.4994999999999,2.5351815296461706,0.05,1068.2760749999998,test,0.14673,1965.2991199999994
430,2025-05-29 02:33:53.347167,2025-05-29 02:38:53.347167,2025-05-29 02:36:23.347167,300,30,0.14247,40,0.08495,0.02246701285588867,0.134,0.12309999999999999,0.13049,0.073,0.099,0.02600000000000001,1.5360800470865215,0.0,0.08463000000000001,2331.46382,40,1134.421875,462.73938224925257,2884.022,1497.6479999999958,2884.00679,856.14225,1224.0452500000001,367.90300000000013,2.542270079197829,0.05,1065.1041499999997,test,0.14673,1965.2991199999994
